frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
84,"450,339","449,887","-4,6556","25,5247","1,93027","0,231427","25,4498","32,0816","1,46651","0,999857","0,642857","-2,60665","-3,69141"
85,"449,175","448,73","-4,67524","25,4565","1,92704","0,232543","25,4715","32,3807","1,4565","0,999871","0,647059","-2,59839","-3,68918"
86,"449,175","448,73","-4,42504","25,5657","1,93674","0,23352","25,6764","33,2","1,60915","0,999884","0,651163","-2,67382","-3,70895"
87,"448,016","447,516","-4,3121","25,7043","1,95245","0,239016","25,6129","33,3389","1,59707","0,999896","0,655172","-2,67967","-3,71043"
88,"446,723","446,231","-4,33268","25,8376","1,949","0,238244","25,643","32,8106","1,58379","0,999906","0,647727","-2,67565","-3,70941"
89,"447,242","446,742","-4,34862","25,9244","1,94751","0,2409","25,5665","32,3404","1,57191","0,999915","0,651685","-2,66281","-3,70614"
90,"446,149","445,657","-4,36697","25,8752","1,94797","0,24231","25,4996","32,2142","1,55972","0,999924","0,644444","-2,65989","-3,70539"
91,"445,559","445,074","-4,38437","25,8263","1,9468","0,245627","25,4003","32,1375","1,54822","0,999931","0,648352","-2,64714","-3,7021"
92,"444,812","444,333","-4,4018","25,7913","1,94513","0,245742","25,5088","32,875","1,53791","0,999938","0,652174","-2,64488","-3,70152"
93,"444,812","444,333","-4,4011","25,8064","1,94909","0,244158","25,683","33,4687","1,52711","0,999944","0,655914","-2,64947","-3,70271"
94,"444,043","443,571","-4,4178","25,8916","1,94812","0,244289","25,9348","33,7591","1,52346","0,99995","0,659574","-2,65303","-3,70363"
95,"443,394","442,93","-4,44421","26,0036","1,94503","0,243538","25,9288","33,5424","1,51217","0,999955","0,652632","-2,64887","-3,70255"
96,"444,333","443,875","-4,37788","26,2443","1,9541","0,241859","26,4315","34,6565","1,5275","0,99996","0,65625","-2,6825","-3,71114"
97,"445,123","444,671","-4,39169","26,3545","1,95659","0,240346","26,2119","34,0617","1,51639","0,999964","0,659794","-2,66571","-3,70688"
98,"446,014","445,568","-4,42016","26,4133","1,95225","0,239189","26,2368","33,7794","1,50799","0,999967","0,653061","-2,66501","-3,70671"
99,"446,88","446,44","-4,44153","26,4301","1,94874","0,238172","26,0702","33,338","1,49741","0,99997","0,656566","-2,64866","-3,7025"
100,"447,329","446,895","-4,45749","26,3427","1,9465","0,238301","25,946","33,086","1,48775","0,999973","0,66","-2,63653","-3,69934"
101,"447,831","447,403","-4,4676","26,3","1,9478","0,236875","26,0286","33,4939","1,47897","0,999976","0,663366","-2,63661","-3,69936"
102,"448,269","447,846","-4,48617","26,3396","1,94483","0,23585","26,478","34,9396","1,49908","0,999978","0,666667","-2,65889","-3,70514"
103,"448,342","447,924","-4,43082","26,4567","1,95168","0,234798","26,5672","35,1859","1,49693","0,999981","0,669903","-2,6668","-3,70716"
104,"447,5","447,087","-4,44311","26,5661","1,95205","0,234385","26,4263","34,7055","1,48899","0,999983","0,673077","-2,65167","-3,70328"
105,"446,704","446,296","-4,46211","26,6434","1,95127","0,233216","26,3992","34,5616","1,47969","0,999984","0,67619","-2,64084","-3,70047"
106,"446,463","446,061","-4,47634","26,611","1,95126","0,241464","26,3127","34,465","1,47047","0,999986","0,679245","-2,63151","-3,69802"
107,"445,289","444,892","-4,4886","26,5646","1,9501","0,240035","26,3399","34,4847","1,46171","0,999987","0,682243","-2,62467","-3,69622"
108,"445,289","444,892","-4,50792","26,5219","1,94772","0,238975","26,2179","34,2746","1,45297","0,999989","0,675926","-2,61936","-3,69481"
109,"445,289","444,892","-4,5258","26,481","1,94519","0,239929","26,202","35,4399","1,4449","0,99999","0,669725","-2,62239","-3,69561"
110,"445,289","444,892","-4,54788","26,438","1,94284","0,241124","26,1252","35,1958","1,43765","0,999991","0,663636","-2,61904","-3,69472"
111,"445,289","444,892","-4,56749","26,3591","1,94208","0,239944","25,9853","34,9697","1,42943","0,999992","0,657658","-2,61379","-3,69332"
112,"445,289","444,892","-4,58089","26,2801","1,94074","0,239449","25,903","34,821","1,42131","0,999992","0,660714","-2,60404","-3,69071"
113,"445,289","444,892","-4,5962","26,1937","1,93819","0,239005","25,8515","34,7592","1,41367","0,999993","0,654867","-2,60275","-3,69036"
114,"445,289","444,892","-4,61808","26,1118","1,9363","0,238579","25,8147","34,7724","1,40632","0,999994","0,649123","-2,60187","-3,69012"
115,"444,262","443,869","-4,6361","26,0546","1,93446","0,237903","25,7952","34,7285","1,39839","0,999995","0,652174","-2,59265","-3,68762"
116,"443,247","442,859","-4,65562","26,0187","1,93231","0,236604","25,7971","34,7202","1,39093","0,999995","0,646552","-2,59126","-3,68725"
117,"443,247","442,859","-4,67205","25,9857","1,93079","0,236876","25,7682","34,6278","1,38318","0,999996","0,641026","-2,59039","-3,68701"
118,"443,247","442,859","-4,69093","25,9506","1,92811","0,238179","25,737","34,7727","1,37622","0,999996","0,635593","-2,58953","-3,68678"
119,"443,247","442,859","-4,70867","25,9104","1,92601","0,236956","25,7125","34,737","1,36872","0,999996","0,630252","-2,58842","-3,68647"
