frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
105,"414,308","414,308","6,63077","9,58003","2,99994","0,00337352","9,46091","21,7937","0,219035","0,999984",1,"-2,44199","-3,64389"
106,"414,308","414,308","6,63333","9,61602","3,00059","0,00334687","9,51188","21,7351","0,218317","0,999986",1,"-2,44678","-3,64537"
107,"414,308","414,308","6,63757","9,6317","3,00125","0,00343082","9,52603","21,748","0,218064","0,999987",1,"-2,44855","-3,64591"
108,"414,308","414,308","6,64094","9,64148","3,00195","0,00340309","9,53305","21,6507","0,21764","0,999989",1,"-2,44933","-3,64615"
109,"414,308","414,308","6,64208","9,63897","3,00254","0,00338486","9,47665","21,5144","0,217453","0,99999",1,"-2,44414","-3,64456"
110,"414,308","414,308","6,6437","9,63258","3,0028","0,00337362","9,49625","21,5016","0,21805","0,999991",1,"-2,44606","-3,64515"
111,"414,308","414,308","6,64307","9,63452","3,00277","0,00335292","9,53825","21,563","0,218964","0,999992",1,"-2,44996","-3,64634"
112,"414,308","414,308","6,64337","9,63685","3,00263","0,00332928","9,54402","21,6227","0,219211","0,999992",1,"-2,45065","-3,64656"
113,"414,308","414,308","6,64193","9,66351","3,00234","0,00336647","9,56728","21,7719","0,21935","0,999993",1,"-2,45302","-3,64729"
114,"414,308","414,308","6,64376","9,68413","3,00202","0,00333954","9,56754","21,9078","0,219436","0,999994",1,"-2,45362","-3,64747"
115,"414,308","414,308","6,64246","9,70435","3,00153","0,00331782","9,59823","22,0301","0,219158","0,999995",1,"-2,4565","-3,64835"
116,"414,308","414,308","6,64128","9,72135","3,00092","0,00329059","9,59662","22,1477","0,218982","0,999995",1,"-2,45654","-3,64836"
117,"414,308","414,308","6,63922","9,73799","3,00013","0,00327947","9,61193","22,3427","0,218563","0,999996",1,"-2,45809","-3,64884"
118,"414,308","414,308","6,63896","9,74813","2,99932","0,00328484","9,60167","22,471","0,218549","0,999996",1,"-2,45747","-3,64864"
119,"414,308","414,308","6,63828","9,74697","2,99838","0,00326854","9,60082","22,6272","0,218174","0,999996",1,"-2,45757","-3,64867"
120,"414,308","414,308","6,6372","9,75506","2,99733","0,00326308","9,61534","22,7655","0,217947","0,999997",1,"-2,45901","-3,64912"
121,"414,308","414,308","6,63767","9,75748","2,99639","0,00326186","9,61768","22,8127","0,218327","0,999997",1,"-2,45942","-3,64924"
122,"414,308","414,308","6,64049","9,75943","2,99554","0,00323888","9,60878","22,8918","0,218363","0,999997",1,"-2,45909","-3,64914"
123,"414,308","414,308","6,6439","9,76287","2,99498","0,00324534","9,61084","22,9532","0,218521","0,999998",1,"-2,45977","-3,64935"
124,"414,308","414,308","6,64469","9,75915","2,99434","0,00322159","9,61215","23,0163","0,217815","0,999998",1,"-2,45997","-3,64941"
125,"414,308","414,308","6,64461","9,75023","2,99361","0,00320194","9,60448","23,064","0,218186","0,999998",1,"-2,45937","-3,64923"
126,"414,308","414,308","6,64348","9,74729","2,99281","0,00318831","9,60666","23,0715","0,218343","0,999998",1,"-2,45946","-3,64925"
127,"414,308","414,308","6,64436","9,75264","2,99245","0,00320102","9,63121","23,2104","0,221555","0,999998",1,"-2,46241","-3,65015"
128,"414,308","414,308","6,64915","9,76672","2,99257","0,00318778","9,66207","23,2482","0,223389","0,999999",1,"-2,46598","-3,65123"
129,"414,308","414,308","6,65151","9,78561","2,99263","0,00319361","9,661","23,3438","0,22318","0,999999",1,"-2,46639","-3,65136"
130,"414,308","414,308","6,65445","9,80354","2,99307","0,00317577","9,66355","23,4152","0,225834","0,999999",1,"-2,46748","-3,65169"
131,"414,308","414,308","6,65438","9,80071","2,99356","0,00318288","9,62342","23,3579","0,225593","0,999999",1,"-2,4638","-3,65057"
132,"413,407","413,407","6,65265","9,78801","2,99407","0,00317371","9,60859","23,3056","0,225562","0,999999",1,"-2,46399","-3,65063"
133,"413,407","413,407","6,64863","9,77156","2,99498","0,00315608","9,57911","23,1198","0,225455","0,999999",1,"-2,46054","-3,64958"
134,416,416,"6,64248","9,74853","2,99592","0,00313637","9,52574","22,9156","0,224641","0,999999",1,"-2,44915","-3,6461"
135,"419,31","419,31","6,63886","9,72758","2,99687","0,00311878","9,48904","22,7227","0,223869","0,999999",1,"-2,43754","-3,64251"
136,"417,233","417,233","6,6364","9,7069","2,99754","0,00309769","9,47324","22,5689","0,223364","0,999999",1,"-2,44008","-3,6433"
