frame,BandwidthRefb, BandwidthTestb, TotalNMRb, WinModDiff1b, ADBb, EHSb, AvgModDiff1b, AvgModDiff2b, RmsNoiseLoudb, MFPDb, RelDistFramesb, DI, ODG
80,"716,112","716,112","5,11621","5,21624","3,08408","0,0065067","5,19243","7,40848","0,111362","0,999782",1,"-0,152868","-2,0402"
81,"716,63","716,63","5,11229","5,20678","3,08446","0,0065294","5,18509","7,38034","0,111603","0,999803",1,"-0,149484","-2,03667"
82,"716,878","716,878","5,10573","5,19605","3,08482","0,00646071","5,1642","7,32299","0,111234","0,999823",1,"-0,146512","-2,03356"
83,"717,12","717,12","5,09998","5,18546","3,0849","0,00639722","5,15441","7,37541","0,11125","0,999841",1,"-0,144633","-2,0316"
84,"717,655","717,655","5,09519","5,17433","3,08499","0,00634004","5,14553","7,3602","0,110798","0,999857",1,"-0,141005","-2,02781"
85,"718,188","718,188","5,09054","5,16927","3,08516","0,00628758","5,16602","7,42157","0,111538","0,999871",1,"-0,139277","-2,02601"
86,"717,233","717,233","5,08585","5,17012","3,08532","0,00629227","5,16952","7,42139","0,112011","0,999884",1,"-0,144437","-2,0314"
87,"717,69","717,69","5,08096","5,17761","3,08534","0,0062634","5,18405","7,43784","0,112001","0,999896",1,"-0,142478","-2,02935"
88,"718,011","718,011","5,07817","5,18386","3,08577","0,00622663","5,17112","7,43037","0,113109","0,999906",1,"-0,139968","-2,02673"
89,"717,596","717,596","5,07486","5,18085","3,08625","0,00616528","5,15421","7,36524","0,112654","0,999915",1,"-0,14083","-2,02763"
90,"718,022","718,022","5,07224","5,17195","3,08693","0,00609967","5,13027","7,31362","0,111964","0,999924",1,"-0,136849","-2,02347"
91,"717,374","717,374","5,06818","5,1585","3,08747","0,00604678","5,11969","7,28247","0,111336","0,999931",1,"-0,139399","-2,02613"
92,"716,793","716,793","5,06224","5,14768","3,08785","0,00603889","5,12051","7,31292","0,110864","0,999938",1,"-0,142316","-2,02918"
93,"716,419","716,419","5,05355","5,1434","3,08784","0,00599161","5,13463","7,34993","0,111467","0,999944",1,"-0,144874","-2,03185"
94,"716,309","716,309","5,0528","5,14401","3,08813","0,00595533","5,1329","7,36099","0,113661","0,99995",1,"-0,145662","-2,03268"
95,"716,189","716,189","5,05022","5,1455","3,08846","0,00591058","5,12691","7,36174","0,113424","0,999955",1,"-0,14575","-2,03277"
96,"715,844","715,844","5,04716","5,14123","3,08869","0,00600092","5,10599","7,31781","0,113199","0,99996",1,"-0,146241","-2,03328"
97,"715,278","715,278","5,04408","5,13286","3,08889","0,0059508","5,1004","7,30941","0,113052","0,999964",1,"-0,1488","-2,03595"
98,"715,49","715,49","5,04172","5,12431","3,08914","0,00595729","5,09734","7,37137","0,112965","0,999967",1,"-0,147595","-2,03469"
99,"715,697","715,697","5,04024","5,11542","3,08932","0,00591729","5,08996","7,34121","0,112832","0,99997",1,"-0,145944","-2,03297"
